2,4,1,4,6,agua
3,3,2,6,6,agua
3,3,3,6,6,agua
1,5,2,4,7,agua
3,5,2,5,7,agua
2,3,1,6,7,agua
1,4,1,3,6,agua
3,4,2,5,6,agua
1,2,3,4,6,agua
2,5,2,5,7,agua
1,4,2,4,7,agua
3,5,1,5,6,agua
3,3,2,6,7,agua
1,4,1,4,7,agua
3,4,3,6,6,agua
2,3,2,5,6,agua
1,2,1,4,7,agua
2,5,3,4,7,agua
4,4,3,4,6,agua
1,3,1,5,7,agua
3,2,2,6,5,agua
2,5,1,6,6,agua
2,4,2,5,6,agua
1,3,2,4,7,agua
1,3,1,3,7,agua
2,2,2,5,6,agua
4,4,1,6,6,agua
3,5,3,4,7,agua
3,3,1,4,7,agua
2,3,1,6,6,agua
3,5,3,5,6,agua
1,3,3,4,7,agua
4,4,1,6,6,agua
1,4,1,3,6,agua
3,5,2,6,7,agua
2,4,1,5,6,agua
3,3,2,4,7,agua
1,2,3,4,7,agua
2,4,3,6,6,agua
3,3,2,6,6,agua
1,3,1,5,5,agua
1,4,1,4,7,agua
1,5,2,5,7,agua
3,3,1,5,7,agua
3,2,2,6,6,agua
3,4,3,4,6,agua
4,4,1,5,7,agua
6,5,6,6,5,fuego
7,6,7,6,5,fuego
6,5,7,6,5,fuego
5,6,6,7,5,fuego
6,6,6,5,6,fuego
6,6,6,7,6,fuego
6,5,7,6,6,fuego
7,6,6,7,5,fuego
7,6,7,7,5,fuego
7,7,6,6,5,fuego
5,5,7,6,6,fuego
5,5,6,7,6,fuego
6,6,6,7,6,fuego
6,6,5,6,6,fuego
7,6,6,6,5,fuego
7,7,7,6,6,fuego
5,5,6,5,6,fuego
7,7,6,6,6,fuego
5,6,6,6,5,fuego
7,5,7,7,6,fuego
6,6,7,5,5,fuego
5,6,7,6,5,fuego
7,6,7,7,5,fuego
5,5,7,6,6,fuego
7,6,5,7,5,fuego
4,1,5,1,5,planta
6,3,5,3,4,planta
5,1,6,1,5,planta
6,2,5,3,5,planta
5,1,6,2,5,planta
4,2,6,2,4,planta
6,3,5,1,4,planta
5,1,5,1,5,planta
5,1,6,2,5,planta
5,1,5,3,5,planta
6,2,5,1,5,planta
4,1,5,1,4,planta
4,1,5,3,4,planta
6,3,6,2,5,planta
4,1,4,2,4,planta
5,3,5,3,4,planta
4,1,5,1,3,planta
5,2,6,1,5,planta
6,2,6,3,4,planta
5,1,6,2,5,planta
5,1,5,1,5,planta
5,3,6,2,5,planta
6,1,6,3,4,planta
4,1,6,1,4,planta
4,2,4,3,5,planta
4,3,5,2,5,planta
4,1,5,2,5,planta
7,1,6,1,3,planta
5,1,6,2,5,planta
4,2,5,1,4,planta
5,2,6,1,5,planta
5,3,5,1,5,planta
6,1,5,3,5,planta
4,3,6,3,4,planta
6,2,6,3,5,planta
5,3,5,1,4,planta
5,1,5,2,4,planta
4,1,6,2,5,planta
4,2,6,1,5,planta
5,3,5,1,4,planta
5,2,6,1,5,planta
6,1,4,3,3,planta
4,1,5,3,5,planta
7,2,6,2,4,planta
5,2,5,1,5,planta
5,3,6,1,4,planta
6,3,6,2,4,planta
4,1,5,2,5,planta
6,1,5,3,5,planta
4,2,5,2,5,planta
4,1,6,1,4,planta
5,3,6,1,5,planta
6,1,6,2,5,planta
5,1,5,3,3,planta
4,2,6,3,4,planta
2,6,5,7,1,roca
4,5,5,7,2,roca
3,7,3,7,1,roca
4,6,5,7,2,roca
4,6,3,7,2,roca
5,6,4,7,1,roca
2,5,4,7,1,roca
6,4,5,7,1,roca
5,5,3,7,1,roca
4,7,5,7,1,roca
3,7,5,7,1,roca
4,7,3,7,2,roca
3,5,5,7,2,roca
5,6,4,7,2,roca
5,4,3,7,1,roca
4,5,2,7,2,roca
6,7,4,6,1,roca
3,6,5,7,2,roca
2,7,3,7,1,roca
3,5,5,7,2,roca
4,6,5,7,1,roca
5,6,3,7,1,roca
4,4,5,7,2,roca
2,7,3,7,2,roca
5,7,5,7,1,roca
5,4,5,7,1,roca
3,5,4,7,1,roca
6,5,3,7,2,roca
4,7,4,6,1,roca
2,6,5,7,2,roca
3,4,3,7,1,roca
3,5,2,7,1,roca
5,6,5,6,2,roca
4,7,4,7,2,roca
